epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.909,1.38987,1.41517,0.91235,0.71471,0.39695,0.45686,0.27109,1.1708,0.74568,0.85624,0.00037015,0.00037015,0.00037015
2,347.784,1.20937,0.79378,0.86948,0.72744,0.42981,0.49671,0.29847,1.11359,0.66291,0.84613,0.000667175,0.000667175,0.000667175
3,493.847,1.16196,0.69279,0.86164,0.69774,0.4618,0.51202,0.31465,1.06988,0.62506,0.8389,0.000890875,0.000890875,0.000890875
4,638.359,1.1183,0.64,0.85157,0.70917,0.48559,0.53141,0.32581,1.04444,0.59327,0.83512,0.000781033,0.000781033,0.000781033
5,783.122,1.09819,0.60689,0.84737,0.73518,0.48692,0.54445,0.33829,1.01881,0.55953,0.83165,0.000671044,0.000671044,0.000671044
6,928.169,1.06457,0.58197,0.84196,0.72992,0.49059,0.54767,0.34093,1.02287,0.55345,0.83101,0.000561055,0.000561055,0.000561055
7,1073.85,1.03795,0.56067,0.83826,0.72084,0.49988,0.55374,0.34868,0.9829,0.53756,0.82696,0.000451066,0.000451066,0.000451066
8,1218.97,1.01657,0.53995,0.83437,0.73138,0.51222,0.56619,0.35819,0.95842,0.51387,0.82186,0.000341077,0.000341077,0.000341077
9,1363.69,0.99016,0.51962,0.83138,0.73136,0.52261,0.57405,0.36445,0.95314,0.50366,0.81977,0.000231088,0.000231088,0.000231088
10,1509.29,0.97307,0.50271,0.82749,0.74909,0.52818,0.5804,0.37106,0.9322,0.48617,0.81773,0.000121099,0.000121099,0.000121099
